mack,tencongty,sanck,vonhoa
HFT,CTCP Chứng khoán Pinetree,OTC,676500000000.0
HGM,CTCP Cơ khí và Khoáng sản Hà Giang,HNX,2908080000000.0
HGT,CTCP Du lịch Hương Giang,UPCOM,204000000000.0
HHC,CTCP Bánh kẹo Hải Hà,HNX,2145105000000.0
HHG,CTCP Hoàng Hà,UPCOM,55834166400.0
HHP,CTCP HHP Global,HOSE,714073329750.0
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,HOSE,2730455882560.0
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,HOSE,5035776901200.0
HII,CTCP An Tiến Industries,HOSE,327800421200.0
HIO,CTCP Helio Energy,UPCOM,199500000000.0
HJC,CTCP Hòa Việt,UPCOM,74547701600.0
HJS,CTCP Thủy điện Nậm Mu,HNX,734996500000.0
HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,UPCOM,30959999400.0
HKT,CTCP Đầu tư QP Xanh,HNX,50307237800.0
HLC,CTCP Than Hà Lầm - Vinacomin,HNX,312606947700.0
HLD,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,HNX,524559352600.0
HLG,CTCP Tập đoàn Hoàng Long,OTC,375915772500.0
HLY,CTCP Gốm Xây Dựng Yên Hưng,UPCOM,16498432500.0
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,HOSE,348074987250.0
HMH,CTCP Hải Minh,HNX,182436587400.0
HMR,CTCP Đá Hoàng Mai,HNX,63420617200.0
HNA,CTCP Thủy điện Hủa Na,HOSE,5880805250000.0
HND,CTCP Nhiệt điện Hải Phòng,UPCOM,6450000000000.0
HNF,CTCP Thực phẩm Hữu Nghị,UPCOM,909000000000.0
HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,UPCOM,6762178759500.0
HNI,CTCP May Hữu Nghị,UPCOM,570693600000.0
HNM,CTCP Sữa Hà Nội,UPCOM,430680000000.0
HNR,CTCP Rượu và Nước giải khát Hà Nội,UPCOM,240000000000.0
HOM,CTCP Xi măng VICEM Hoàng Mai,HNX,266391604700.0
HPD,CTCP Thủy điện ĐăK Đoa,UPCOM,180253003000.0
HPG,CTCP Tập đoàn Hòa Phát,HOSE,170460067830000.0
HPI,CTCP Khu công nghiệp Hiệp Phước,UPCOM,1092000000000.0
HPW,CTCP Cấp nước Hải Phòng,UPCOM,1276359368000.0
HPX,CTCP Đầu tư Hải Phát,HOSE,1420467273270.0
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,HOSE,1804755727620.0
HRC,CTCP Cao su Hòa Bình,HOSE,1238471502000.0
HSG,CTCP Tập đoàn Hoa Sen,HOSE,11457123601050.0
HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,HOSE,156969167410.0
HSM,Tổng Công ty cổ phần Dệt may Hà Nội,UPCOM,110700000000.0
HSP,CTCP Sơn Tổng hợp Hà Nội,UPCOM,144325032000.0
HSV,CTCP Tập đoàn HSV Việt Nam,UPCOM,61424976600.0
HT1,CTCP Xi Măng Vicem Hà Tiên,HOSE,4464601958700.0
HTC,CTCP Thương mại Hóc Môn,HNX,514799781600.0
HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,UPCOM,86025027000.0
HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,HOSE,1728129984000.0
HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,HOSE,409166880000.0
HTL,CTCP Kỹ thuật và Ô tô Trường Long,HOSE,351000000000.0
HTM,Tổng Công ty Thương mại Hà Nội - CTCP,UPCOM,2419544600000.0
HTN,CTCP Hưng Thịnh Incons,HOSE,908987392200.0
HTP,CTCP In Sách Giáo khoa Hòa Phát,UPCOM,257053944000.0
HTT,CTCP Thương mại Hà Tây,UPCOM,30000000000.0
HTV,CTCP Logistics Vicem,HOSE,124488000000.0
HU1,CTCP Đầu tư và Xây dựng HUD1,HOSE,55000000000.0
HU4,CTCP Đầu tư và Xây dựng HUD4,UPCOM,205500000000.0
HUB,CTCP Xây lắp Thừa Thiên Huế,HOSE,478631553400.0
HUG,Tổng Công ty May Hưng Yên - CTCP,UPCOM,667289503800.0
HUT,CTCP Tasco,HNX,14101689047000.0
HVA,CTCP Đầu tư HVA,UPCOM,85995000000.0
HVH,CTCP Đầu tư và Công nghệ HVC,HOSE,395474195900.0
HVN,Tổng Công ty Hàng không Việt Nam - CTCP,HOSE,63442393085100.0
HVT,CTCP Hóa chất Việt Trì,HNX,1251539920100.0
HVX,CTCP Xi măng VICEM Hải Vân,HOSE,107965650000.0
HWS,CTCP Cấp nước Huế,UPCOM,1476772700000.0
ICF,CTCP Đầu tư Thương mại Thủy sản,UPCOM,43543800000.0
ICG,CTCP Xây dựng Sông Hồng,HNX,130032800000.0
ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO,UPCOM,1277037496000.0
ICT,CTCP Viễn thông - Tin học Bưu điện,HOSE,439325250000.0
IDC,Tổng Công ty IDICO – CTCP,HNX,18380996045300.0
IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI,HOSE,2248211057640.0
IDJ,CTCP Đầu tư IDJ Việt Nam,HNX,1023592138700.0
IDP,CTCP Sữa Quốc tế Lof,UPCOM,14802171044000.0
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc,HNX,1362618630000.0
IFS,CTCP Thực phẩm Quốc tế,UPCOM,2309236076000.0
IJC,CTCP Phát triển Hạ tầng Kỹ thuật,HOSE,5231815118400.0
ILA,CTCP ILA,UPCOM,90350582600.0
ILB,CTCP ICD Tân Cảng - Long Bình,HOSE,842877228000.0
ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế,UPCOM,529200000000.0
IMP,CTCP Dược phẩm Imexpharm,HOSE,7238421214000.0
INC,CTCP Tư vấn Đầu tư IDICO,HNX,58400000000.0
ING,CTCP  Đầu tư và Phát triển Xây dựng,UPCOM,170639556400.0
INN,CTCP Bao bì và In Nông nghiệp,HNX,978602000000.0
IPA,CTCP Tập đoàn Đầu tư I.P.A,HNX,2544645722500.0
IRC,CTCP Cao su Công nghiệp,UPCOM,152250000000.0
ISH,CTCP Thủy điện Srok Phu Miêng IDICO,UPCOM,1179000000000.0
IST,CTCP ICD Tân Cảng Sóng Thần,UPCOM,544808259600.0
ITA,CTCP Đầu tư và Công nghiệp Tân Tạo,UPCOM,2205055701250.0
ITC,CTCP Đầu tư và Kinh doanh Nhà,HOSE,1045692034100.0
ITQ,CTCP Tập đoàn Thiên Quang,HNX,82792593000.0
ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin,UPCOM,103193703600.0
IVS,CTCP Chứng khoán Guotai Junan (Việt Nam),HNX,721240000000.0
JOS,CTCP Chế biến Thủy sản xuất khẩu Minh Hải,UPCOM,15043161000.0
JVC,CTCP Thiết bị Y tế Việt Nhật,HOSE,427500649800.0
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,HOSE,20878849444800.0
KDC,CTCP Tập đoàn KIDO,HOSE,16924688854400.0
KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,HOSE,36502246596500.0
KDM,CTCP Tập Đoàn GCL,HNX,120791997900.0
KGM,CTCP Xuất nhập khẩu Kiên Giang,UPCOM,178010000000.0
KHG,CTCP Tập đoàn Khải Hoàn Land,HOSE,2494365387750.0
KHP,CTCP Điện lực Khánh Hòa,HOSE,806029559100.0
KHS,CTCP Kiên Hùng,HNX,163228081500.0
KHW,CTCP Cấp thoát nước Khánh Hòa,UPCOM,883739876400.0
KKC,CTCP Tập Đoàn Thành Thái,HNX,31198896000.0
KLB,Ngân hàng TMCP Kiên Long,UPCOM,4120893409200.0
KMR,CTCP Mirae,HOSE,184852872750.0
KMT,CTCP Kim khí Miền Trung,HNX,95511651400.0
KOS,CTCP KOSY,HOSE,8323707330750.0
KPF,CTCP Đầu tư tài sản Koji,HOSE,98604930420.0
KSB,CTCP Khoáng sản và Xây dựng Bình Dương,HOSE,2122930690650.0
KSD,CTCP Đầu tư DNA,HNX,56400000000.0
KSF,CTCP Tập đoàn Sunshine,HNX,12150000000000.0
KSH,CTCP DAMAC GLS,UPCOM,23003870000.0
KSQ,CTCP CNC Capital Việt Nam,HNX,90000000000.0
KST,CTCP KASATI,HNX,79094664000.0
KSV,Tổng Công ty Khoáng sản TKV - CTCP,HNX,21400000000000.0
KTC,CTCP Thương mại Kiên Giang,UPCOM,408506929600.0
KTL,CTCP Kim Khí Thăng Long,UPCOM,288000000000.0
KTS,CTCP Đường Kon Tum,HNX,212940000000.0
KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,UPCOM,79200000000.0
L10,CTCP Lilama 10,HOSE,199716000000.0
L14,CTCP Licogi 14,HNX,1117107203000.0
L18,CTCP Đầu tư và Xây dựng Số 18,HNX,1497979550400.0
L35,CTCP Cơ khí Lắp máy Lilama,UPCOM,20243961000.0
L40,CTCP Đầu Tư và Xây dựng 40,HNX,122400000000.0
LAF,CTCP Chế biến hàng Xuất khẩu Long An,HOSE,281718351500.0
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,HNX,2415126960000.0
LAW,CTCP Cấp thoát nước Long An,UPCOM,341600000000.0
LBE,CTCP Thương mại và Dịch vụ LVA,HNX,46998449000.0
LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,HOSE,1132000000000.0
LCD,CTCP Lắp máy - Thí nghiệm Cơ điện,HNX,32548806500.0
LCG,CTCP Lizen,HOSE,1998490111200.0
LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai,UPCOM,27096089900.0
LDG,CTCP Đầu tư LDG,HOSE,481669808600.0
LDP,CTCP Dược Lâm Đồng (Ladophar),HNX,129571977000.0
LDW,CTCP Cấp thoát nước Lâm Đồng,UPCOM,1221400000000.0
LEC,CTCP Bất động sản Điện lực Miền Trung,HOSE,150597000000.0
LGC,CTCP Đầu tư Cầu đường CII,HOSE,13191265926000.0
LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,HOSE,131317605000.0
LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,HNX,1036800000000.0
LHG,CTCP Long Hậu,HOSE,1775426355000.0
LIC,Tổng Công ty LICOGI - CTCP,UPCOM,2934000000000.0
LIG,CTCP Licogi 13,HNX,282661983000.0
LIX,CTCP Bột Giặt Lix,HOSE,2170800000000.0
LKW,CTCP Cấp nước Long Khánh,UPCOM,80000000000.0
LLM,Tổng Công ty Lắp máy Việt Nam - CTCP,UPCOM,1331425936800.0
LM8,CTCP Lilama 18,HOSE,126747207000.0
LMH,CTCP Quốc Tế Holding,UPCOM,23066995500.0
LO5,CTCP Lilama 5,UPCOM,4119832800.0
LPB,Ngân hàng TMCP Lộc Phát Việt Nam,HOSE,79925513000000.0
LPT,CTCP Thương mại và Sản xuất Lập Phương Thành,UPCOM,72000000000.0
LSG,CTCP Bất động sản Sài Gòn Vina,UPCOM,999000000000.0
M10,Tổng Công ty May 10 - CTCP,UPCOM,809644278000.0
MAC,CTCP Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,HNX,310364772500.0
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,HNX,161745185700.0
MBB,Ngân hàng TMCP Quân Đội,HOSE,133188733705200.0
MBG,CTCP Tập đoàn MBG,HNX,396721182000.0
MBS,CTCP Chứng khoán MB,HNX,16381592084000.0
MCC,CTCP Gạch ngói Cao cấp,HNX,62326550000.0
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm,HNX,93767190600.0
MCG,CTCP Năng lượng và Bất động sản MCG,UPCOM,98895000000.0
MCH,CTCP Hàng tiêu dùng Masan,UPCOM,184782636705000.0
MCM,CTCP Giống Bò sữa Mộc Châu,HOSE,3773000000000.0
MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam,HNX,41860075800.0
MCP,CTCP In và Bao bì Mỹ Châu,HOSE,565350960300.0
MDC,CTCP Than Mông Dương - Vinacomin,HNX,212041625400.0
MDF,CTCP Gỗ MDF VRG - Quảng Trị,UPCOM,336192929500.0
MDG,CTCP Miền Đông,HOSE,128027284400.0
MED,CTCP Dược Trung ương Mediplantex,HNX,322660000000.0
MEL,CTCP Thép Mê Lin,HNX,100500000000.0
MES,CTCP Cơ điện Công trình,UPCOM,186000000000.0
MGR,CTCP Tập đoàn MGROUP,UPCOM,80000000000.0
MH3,CTCP Khu Công nghiệp Cao su Bình Long,UPCOM,811200000000.0
MHC,CTCP MHC,HOSE,274527375720.0
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPCOM,922944750000.0
MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội,HOSE,3021768750000.0
MKP,CTCP Hoá - Dược phẩm Mekophar,UPCOM,720144298500.0
MKV,CTCP Dược thú Y Cai Lậy,HNX,49000000000.0
MML,CTCP Masan MeatLife,UPCOM,7798546454100.0
MNB,Tổng Công ty May Nhà Bè - CTCP,UPCOM,510000000000.0
MPC,CTCP Tập đoàn Thủy sản Minh Phú,UPCOM,6014074500000.0
MPT,CTCP Tập đoàn MPT,UPCOM,11975014800.0
MSB,Ngân hàng TMCP Hàng hải Việt Nam,HOSE,30290000000000.0
MSH,CTCP May Sông Hồng,HOSE,3900733200000.0
MSN,CTCP Tập đoàn Masan,HOSE,100684613190000.0
MSR,CTCP Masan High-Tech Materials,UPCOM,12860118414000.0
MST,CTCP Đầu tư MST,HNX,532030107000.0
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh -  CTCP,UPCOM,1057090473600.0
MTS,CTCP Vật tư - TKV,UPCOM,142500000000.0
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,HNX,1995000000000.0
MVC,CTCP Vật liệu và Xây dựng Bình Dương,UPCOM,950000000000.0
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP,UPCOM,66152398800000.0
MWG,CTCP Đầu tư Thế giới Di động,HOSE,89150536749000.0
MZG,CTCP Miza,UPCOM,879095064400.0
NAB,Ngân hàng TMCP Nam Á,HOSE,21094681320350.0
NAF,CTCP Nafoods Group,HOSE,1106843691400.0
NAG,CTCP Tập đoàn Nagakawa,HNX,369119883600.0
NAP,CTCP Cảng Nghệ Tĩnh,HNX,195806520000.0
NAV,CTCP Nam Việt,HOSE,154399614000.0
NAW,CTCP Cấp nước Nghệ An,UPCOM,295349265700.0
NBB,CTCP Đầu tư Năm Bảy Bảy,HOSE,2263611367000.0
NBC,CTCP Than Núi Béo - Vinacomin,HNX,340391940800.0
NBP,CTCP Nhiệt điện Ninh Bình,HNX,169824600000.0
NBT,CTCP Cấp thoát nước Bến Tre,UPCOM,543900000000.0
NBW,CTCP Cấp nước Nhà Bè,HNX,331360000000.0
NCG,CTCP Tập đoàn Nova Consumer,UPCOM,910360870000.0
NCS,CTCP Suất ăn Hàng không Nội Bài,UPCOM,463063818000.0
NCT,CTCP Dịch vụ Hàng hóa Nội Bài,HOSE,3014292326400.0
ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2,UPCOM,1894771084000.0
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng,HNX,644921424000.0
NDT,Tổng Công ty cổ phần Dệt May Nam Định,UPCOM,78199880000.0
NDW,CTCP Cấp nước Nam Định,UPCOM,236173531200.0
NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng,HNX,48896540700.0
NED,CTCP Đầu tư và Phát triển Điện Tây Bắc,UPCOM,283500000000.0
NET,CTCP Bột giặt NET,HNX,1729154472800.0
NFC,CTCP Phân lân Ninh Bình,HNX,265858294000.0
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,HOSE,1223634204000.0
NHC,CTCP Gạch ngói Nhị Hiệp,HNX,90333797400.0
NHH,CTCP Nhựa Hà Nội,HOSE,958372000000.0
NHT,CTCP Sản xuất và Thương mại Nam Hoa,HOSE,254439198800.0
NKG,CTCP Thép Nam Kim,HOSE,4565217082100.0
NLG,CTCP Đầu tư Nam Long,HOSE,14063616565050.0
NNC,CTCP Đá Núi Nhỏ,HOSE,515120000000.0
NO1,CTCP Tập đoàn 911,HOSE,260400000000.0
NOS,CTCP Vận tải biển và Thương mại Phương Đông,UPCOM,13668152400.0
NQB,CTCP Cấp nước Quảng Bình,UPCOM,137841632000.0
NQN,CTCP Nước sạch Quảng Ninh,UPCOM,701475983400.0
NQT,CTCP Nước sạch Quảng Trị,UPCOM,154982786500.0
NRC,CTCP Tập Đoàn Danh Khôi,HNX,462988810000.0
NS2,CTCP Nước sạch Số 2 Hà Nội,UPCOM,1011040000000.0
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam,HOSE,1404203828400.0
NSH,CTCP Tập Đoàn Nhôm Sông Hồng Shalumi,HNX,91051122800.0
NST,CTCP Ngân Sơn,HNX,116500831200.0
NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,HOSE,6031002807550.0
NTC,CTCP Khu Công nghiệp Nam Tân Uyên,UPCOM,5111995740000.0
NTH,CTCP Thủy điện Nước Trong,HNX,594112915000.0
NTL,CTCP Phát triển Đô thị Từ Liêm,HOSE,2238331165000.0
NTP,CTCP Nhựa Thiếu niên Tiền Phong,HNX,8292821376000.0
NTT,CTCP Dệt - May Nha Trang,UPCOM,204450000000.0
NTW,CTCP Cấp nước Nhơn Trạch,UPCOM,180000000000.0
NVB,Ngân hàng TMCP Quốc Dân,HNX,10454231483900.0
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,HOSE,19988571514500.0
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay,HOSE,696850000000.0
OCB,Ngân hàng TMCP Phương Đông,HOSE,28109996332800.0
OCH,CTCP One Capital Hospitality,HNX,1100000000000.0
OGC,CTCP Tập đoàn Đại Dương,HOSE,1274999995750.0
OIL,Tổng Công ty Dầu Việt Nam - CTCP,UPCOM,12410754000000.0
ONE,CTCP Công nghệ One,HNX,40257655800.0
OPC,CTCP Dược phẩm OPC,HOSE,1601272300000.0
ORS,CTCP Chứng khoán Tiên Phong,HOSE,4720796389150.0
PAC,CTCP Pin Ắc quy Miền Nam,HOSE,1984341888900.0
PAN,CTCP Tập đoàn PAN,HOSE,4961250312500.0
PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,UPCOM,6032000000000.0
PAS,CTCP Quốc tế Phương Anh,UPCOM,84149904000.0
PAT,CTCP Phốt Pho Apatit Việt Nam,UPCOM,2182500000000.0
PBC,CTCP Dược phẩm Trung Ương 1- Pharbaco,UPCOM,781769323800.0
PBP,CTCP Bao bì Dầu khí Việt Nam,HNX,62393708000.0
PBT,CTCP Bao bì và Thương mại dầu khí Bình Sơn,UPCOM,140178272000.0
PC1,CTCP Tập Đoàn PC1,HOSE,8190004570900.0
PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung,HNX,177000000000.0
PCF,CTCP Cà phê PETEC,UPCOM,15900000000.0
PCH,CTCP Nhựa Picomat,HNX,307339542800.0
PCT,CTCP Vận tải biển Global Pacific,HNX,640454310400.0
PDB,CTCP Tập đoàn Đầu tư Din Capital,HNX,90881806200.0
PDC,CTCP Du lịch Dầu khí Phương Đông,UPCOM,78000000000.0
PDN,CTCP Cảng Đồng Nai,HOSE,3889610340000.0
PDR,CTCP Phát triển Bất động sản Phát Đạt,HOSE,18073999718100.0
PDV,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt,UPCOM,1143460211800.0
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,UPCOM,1832001460100.0
PEN,CTCP Xây lắp III Petrolimex,HNX,30000000000.0
PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,HOSE,2684061594650.0
PFL,CTCP Dầu khí Đông Đô,UPCOM,105000000000.0
PGB,Ngân hàng TMCP Thịnh vượng và Phát triển,UPCOM,6426000000000.0
PGC,Tổng Công ty Gas Petrolimex - CTCP,HOSE,950343738750.0
PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,HOSE,3138214758700.0
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,HOSE,2528446948800.0
PGN,CTCP Phụ Gia Nhựa,HNX,141026399100.0
PGS,CTCP Kinh doanh Khí Miền Nam,HNX,1639960443200.0
PGT,CTCP PGT Holdings,HNX,63768426900.0
PGV,Tổng Công ty Phát điện 3 - CTCP,HOSE,22750227931500.0
PHC,CTCP Xây dựng Phục Hưng Holdings,HOSE,286859706820.0
PHH,CTCP Hồng Hà Việt Nam,UPCOM,112220000000.0
PHN,CTCP Pin Hà Nội,HNX,573058969000.0
PHP,CTCP Cảng Hải Phòng,UPCOM,13666928000000.0
PHR,CTCP Cao su Phước Hòa,HOSE,7208557333600.0
PHS,CTCP Chứng khoán Phú Hưng,UPCOM,2040095155800.0
PIA,CTCP Tin học Viễn thông Petrolimex,HNX,104520000000.0
PIC,CTCP Đầu tư Điện lực 3,HNX,656795852700.0
PIS,Tổng Công ty Pisico Bình Định - CTCP,UPCOM,305250000000.0
PIT,CTCP Xuất nhập khẩu Petrolimex,HOSE,74887885750.0
PIV,CTCP PIV,UPCOM,50242331800.0
PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội,HNX,197825247000.0
PJT,CTCP Vận tải Xăng dầu đường Thủy Petrolimex,HOSE,267489938750.0
PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,HNX,1809865478400.0
PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,HOSE,327599283960.0
PLX,Tập đoàn Xăng Dầu Việt Nam,HOSE,47647208812500.0
PMB,CTCP Phân bón và Hóa chất  Dầu khí Miền Bắc,HNX,111600000000.0
PMC,CTCP Dược phẩm Dược liệu Pharmedic,HNX,970587592000.0
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,HOSE,380420842380.0
PMP,CTCP Bao bì đạm Phú Mỹ,HNX,56700000000.0
PMS,CTCP Cơ khí Xăng dầu,HNX,229736526800.0
PMW,CTCP Cấp nước Phú Mỹ,UPCOM,1799993952000.0
PNC,CTCP Văn hóa Phương Nam,HOSE,190608545150.0
PND,CTCP Xăng dầu Dầu khí Nam Định,UPCOM,43999995600.0
PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,HOSE,33080920744300.0
PNP,CTCP Tân Cảng - Phú Hữu,UPCOM,368690000000.0
POB,CTCP Xăng dầu Dầu khí Thái Bình,UPCOM,553720000000.0
POS,"CTCP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí Biển PTSC",UPCOM,772000000000.0
POT,CTCP Thiết bị Bưu điện,HNX,297279091800.0
POV,CTCP Xăng dầu Dầu khí Vũng Áng,UPCOM,106246702000.0
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,HOSE,28102459200000.0
PPC,CTCP Nhiệt điện Phả Lại,HOSE,3574835552100.0
PPE,CTCP Tư vấn đầu tư PP Enterprise,HNX,25800000000.0
PPH,Tổng Công ty cổ phần Phong Phú,UPCOM,2299863442800.0
PPP,CTCP Dược phẩm Phong Phú,HNX,155759840700.0
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,HNX,171000000000.0
PPT,CTCP Petro Times,HNX,241926840400.0
PPY,CTCP Xăng dầu Dầu khí Phú Yên,HNX,88767753000.0
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC,UPCOM,120000000000.0
PRC,CTCP Logistics Portserco,HNX,23520000000.0
PRE,Tổng Công ty cổ phần Tái bảo hiểm Hà Nội,HNX,2067120000000.0
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,UPCOM,2850000000000.0
PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình,UPCOM,310000000000.0
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn,HNX,79920000000.0
PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí,HNX,684128200800.0
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ,HNX,123750000000.0
PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,HOSE,406266691600.0
PSI,CTCP Chứng khoán Dầu khí,HNX,454793880000.0
PSN,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,UPCOM,400000000000.0
PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,UPCOM,524000000000.0
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,HNX,142800000000.0
PTB,CTCP Phú Tài,HOSE,4504954521900.0
PTC,CTCP Đầu Tư Icapital,HOSE,146471889200.0
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,HNX,42499430500.0
PTE,CTCP Xi măng Phú Thọ,UPCOM,32753095200.0
PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện,HNX,2894245524000.0
PTL,CTCP Victory Group,HOSE,273856271600.0
PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng,HNX,41760000000.0
PTT,CTCP Vận tải Dầu khí Đông Dương,UPCOM,181424892000.0
PTV,CTCP Thương mại Dầu khí,UPCOM,80000000000.0
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,HNX,114497663400.0
PV2,CTCP Đầu tư PV2,HNX,92172000000.0
PVA,CTCP Tổng Công ty Xây lắp Dầu khí Nghệ An,UPCOM,10923000000.0
PVB,CTCP Bọc ống Dầu khí Việt Nam,HNX,645839940200.0
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,HNX,844422415200.0
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,HOSE,13007592140400.0
PVG,CTCP Kinh doanh LPG Việt Nam,HNX,307988619400.0
PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,12600000000.0
PVI,CTCP PVI,HNX,14288753887000.0
PVL,CTCP Đầu tư Nhà Đất Việt,UPCOM,200000000000.0
PVM,CTCP Máy - Thiết bị Dầu khí,UPCOM,618217600000.0
PVP,CTCP Vận tải Dầu khí Thái Bình Dương,HOSE,1835533400400.0
PVR,CTCP Đầu tư PVR Hà Nội,UPCOM,51906713000.0
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX,16203057231000.0
PVT,Tổng Công ty cổ phần Vận tải Dầu khí,HOSE,9861550072600.0
PVV,CTCP Vinaconex 39,UPCOM,39000000000.0
PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,UPCOM,679994949300.0
PVY,CTCP Chế tạo Giàn khoan Dầu khí,UPCOM,142775488800.0
PWS,CTCP Cấp thoát nước Phú Yên,UPCOM,441181158500.0
PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,UPCOM,57000000000.0
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,UPCOM,1123012003200.0
PXM,CTCP Xây lắp Dầu khí Miền Trung,UPCOM,9000000000.0
PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,UPCOM,150000000000.0
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,UPCOM,56000000000.0
QBS,CTCP Xuất nhập khẩu Quảng Bình,UPCOM,48530949600.0
QCG,CTCP Quốc Cường Gia Lai,HOSE,3219010949700.0
QHD,CTCP Que hàn điện Việt Đức,HNX,177895855200.0
QNC,CTCP Xi măng và Xây dựng Quảng Ninh,UPCOM,377571600000.0
QNP,CTCP Cảng Quy Nhơn,HOSE,1448696707500.0
QNS,CTCP Đường Quảng Ngãi,UPCOM,18382407650000.0
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi,UPCOM,354000000000.0
